location,airport,iata,latitude,longitude,region
Saskatoon,Saskatoon John G. Diefenbaker International Airport,YXE[2],,,Americas
St. John's,St. John's International Airport,YYT,47.618599,-52.7519,Americas
Sydney,JA Douglas McCurdy Sydney Airport,YQY,46.161072,-60.049759,Americas
Thunder Bay,Thunder Bay International Airport,YQT,48.371899,-89.323898,Americas
Toronto (Mississauga),Toronto Pearson International Airport,YYZ,43.675935,-79.629421,Americas
Toronto,Billy Bishop Toronto City Airport,YTZ,43.627852,-79.39553,Americas
Vancouver (Richmond),Vancouver International Airport,YVR,49.193901,-123.183998,Americas
Victoria (Sidney),Victoria International Airport,YYJ,48.647201,-123.427792,Americas
Whitehorse,Erik Nielsen Whitehorse International Airport,YXY,60.708533,-135.065705,Americas
Windsor,Windsor International Airport,YQG,42.2756,-82.955597,Americas
Winnipeg,Winnipeg James Armstrong Richardson International Airport,YWG,49.909999847399995,-97.2398986816,Americas
Kangerlussuaq,Kangerlussuaq Airport,SFJ,67.010446,-50.715294,Americas
Nuuk,Nuuk Airport,GOH,64.191066,-51.67914,Americas
Ilulissat,Ilulissat Airport,JAV,69.243202,-51.057098,Americas
Narsarsuaq,Narsarsuaq Airport,UAK,61.15958,-45.42469,Americas
Acapulco,Acapulco International Airport,ACA,16.757126,-99.753113,Americas
Aguascalientes,Aguascalientes International Airport,AGU,21.699589,-102.318372,Americas
Cancún,Cancún International Airport,CUN,21.040817,-86.87347,Americas
Chihuahua,Chihuahua International Airport,CUU,28.702649,-105.963764,Americas
Ciudad del Carmen,Ciudad del Carmen International Airport,CME,18.651516,-91.799355,Americas
Cozumel,Cozumel International Airport,CZM,20.514922,-86.928538,Americas
Culiacán,Culiacán International Airport,CUL,24.76504,-107.475228,Americas
Durango,Durango International Airport,DGO,24.125468,-104.527938,Americas
Guadalajara,Guadalajara International Airport,GDL,20.523342,-103.310108,Americas
Hermosillo,Hermosillo International Airport,HMO,29.092811,-111.053015,Americas
Huatulco,Bahías de Huatulco International Airport,HUX,15.775437,-96.260456,Americas
Ixtapa,Ixtapa-Zihuatanejo International Airport,ZIH,17.601771,-101.460629,Americas
León,León/Bajío International Airport,BJX,20.992695,-101.480284,Americas
Loreto,Loreto International Airport,LTO,25.989549,-111.348408,Americas
Los Cabos,Cabo San Lucas International Airport,CSL,35.3263,-120.7431,Americas
Manzanillo,Playa de Oro International Airport,ZLO,19.1448,-104.558998,Americas
Mazatlán,Mazatlán International Airport,MZT,23.162823,-106.264517,Americas
Mérida,Mérida International Airport,MID,20.930485,-89.645462,Americas
Mexicali,Mexicali International Airport,MXL,32.630629,-115.242805,Americas
Mexico City,Mexico City International Airport,MEX,19.435822,-99.07033,Americas
Monterrey,Monterrey International Airport,MTY,25.778521,-100.106989,Americas
Morelia,Morelia International Airport,MLM,19.849899,-101.025002,Americas
Oaxaca,Oaxaca International Airport,OAX,16.998773,-96.726092,Americas
Puebla,Puebla International Airport,PBC,19.158465,-98.371582,Americas
Puerto Escondido,Puerto Escondido International Airport,PXM,15.876808,-97.0891,Americas
Puerto Vallarta,Puerto Vallarta International Airport,PVR,20.679913,-105.254391,Americas
Querétaro,Querétaro Intercontinental Airport,QRO,20.618779,-100.186449,Americas
Reynosa,Reynosa International Airport,REX,26.0089,-98.2285,Americas
Saltillo,Saltillo International Airport,SLW,25.53786,-100.928346,Americas
San Luis Potosí,San Luis Potosí International Airport,SLP,22.262026,-100.935692,Americas
Tampico,Tampico International Airport,TAM,22.292622,-97.867058,Americas
Tepic,Tepic International Airport,TPQ,21.419833,-104.842472,Americas
Tijuana,Tijuana International Airport,TIJ,32.541043,-116.969976,Americas
Toluca,Toluca International Airport,TLC,19.3369,-99.56583,Americas
Torreón,Torreón International Airport,TRC,25.562265,-103.404608,Americas
Tulum,Tulum International Airport,TQO,20.172098,-87.660272,Americas
Uruapan,Uruapan International Airport,UPN,19.3967,-102.039001,Americas
Tuxtla Gutiérrez,Tuxtla Gutiérrez International Airport,TGZ,16.561611,-93.025731,Americas
Uruapan,Uruapan International Airport,UPN,19.3967,-102.039001,Americas
Veracruz,Veracruz International Airport,VER,19.139589,-96.188602,Americas
Villahermosa,Villahermosa International Airport,VSA,17.994283,-92.818199,Americas
Zacatecas,Zacatecas International Airport,ZCL,22.894942,-102.687154,Americas
Saint-Pierre,Saint-Pierre Airport,FSP,46.762651,-56.17499,Americas
Akron,Akron Executive Airport,AKC,41.037355,-81.46784,Americas
Albany,Albany International Airport,ALB,42.748299,-73.801697,Americas
Albuquerque,Albuquerque International Sunport,ABQ,35.039976,-106.608925,Americas
Amarillo,Rick Husband Amarillo International Airport,AMA,35.217857,-101.706444,Americas
Anchorage,Anchorage International Airport,ANC,61.179004,-149.992561,Americas
Appleton,Appleton International Airport,ATW,44.258515,-88.519,Americas
Atlanta,Hartsfield–Jackson Atlanta International Airport,ATL,33.6367,-84.428101,Americas
Atlantic City,Atlantic City International Airport,ACY,39.456201,-74.577511,Americas
Austin (TX),Austin–Bergstrom International Airport,AUS,30.197535,-97.662015,Americas
Baltimore,Baltimore/Washington International Airport,BWI,39.1754,-76.668297,Americas
Bangor,Bangor International Airport,BGR,44.806364,-68.826668,Americas
Baudette,Baudette International Airport,BDE,48.728401,-94.612198,Americas
Bellingham,Bellingham International Airport,BLI,48.79280090332031,-122.53800201416016,Americas
Birmingham,Birmingham–Shuttlesworth International Airport,BHM,33.562877,-86.750712,Americas
Boise,Boise Airport,BOI,43.5644,-116.223,Americas
Boston,Logan International Airport,BOS,42.36197,-71.0079,Americas
Brownsville,Brownsville/South Padre Island International Airport,BRO,25.907238,-97.425235,Americas
Buffalo,Buffalo Niagara International Airport,BUF,42.940498,-78.732201,Americas
Calexico,Calexico International Airport,CXL,32.6694984436,-115.513000488,Americas
Charlotte,Charlotte Douglas International Airport,CLT,35.2140007019043,-80.94309997558594,Americas
Charleston (SC),Charleston International Airport,CHS,32.896159,-80.038151,Americas
Chicago,Midway International Airport,MDW,41.785999,-87.752403,Americas
Cincinnati (OH) (Hebron),Cincinnati/Northern Kentucky International Airport,CVG,39.048801,-84.667801,Americas
Cleveland,Cleveland Hopkins International Airport,CLE,41.411701,-81.8498,Americas
Columbia (SC),Columbia Metropolitan Airport,CAE,33.938172,-81.123022,Americas
Columbus (OH),John Glenn Columbus International Airport,CMH,39.998001,-82.891899,Americas
Corpus Christi,Corpus Christi International Airport,CRP,27.770399,-97.501198,Americas
Dallas,Dallas Love Field,DAL,32.844776,-96.847653,Americas
Dallas/Fort Worth,Dallas/Fort Worth International Airport,DFW,32.896801,-97.038002,Americas
Dayton (OH),Dayton International Airport,DAY,39.902401,-84.219398,Americas
Denver,Denver International Airport,DEN,39.860027,-104.673792,Americas
Des Moines (IA),Des Moines International Airport,DSM,41.534027,-93.656719,Americas
Detroit,Detroit Metropolitan Airport,DTW,42.21377,-83.353786,Americas
Duluth,Duluth International Airport,DLH,46.841873,-92.198746,Americas
El Paso,El Paso International Airport,ELP,31.809908,-106.375607,Americas
Erie,Erie International Airport,ERI,42.083127,-80.173867,Americas
Fairbanks,Fairbanks International Airport,FAI,64.815102,-147.856003,Americas
Fort Lauderdale,Fort Lauderdale–Hollywood International Airport,FLL,26.072599,-80.152702,Americas
Fort Myers,Southwest Florida International Airport,RSW,26.534685,-81.752816,Americas
