State,City,FAA,IATA,ICAO,Airport,Role,Enplanements
MISSOURI,Joplin,JLN,JLN,KJLN,Joplin Regional Airport,P-N,"18,362"
MISSOURI,Kansas City,MCI,MCI,KMCI,Kansas City International Airport (was Mid-Continent International),P-M,"5,915,078"
MISSOURI,St. Louis,STL,STL,KSTL,St. Louis Lambert International Airport,P-M,"7,807,362"
MISSOURI,Springfield/Branson,SGF,SGF,KSGF,Springfield–Branson National Airport,P-S,"702,338"
MONTANA,Billings,BIL,BIL,KBIL,Billings Logan International Airport,P-S,"475,334"
MONTANA,Bozeman,BZN,BZN,KBZN,Bozeman Yellowstone International Airport (was Gallatin Field),P-S,"1,321,790"
MONTANA,Butte,BTM,BTM,KBTM,Bert Mooney Airport,P-N,"15,773"
MONTANA,Great Falls,GTF,GTF,KGTF,Great Falls International Airport,P-N,"186,778"
MONTANA,Helena,HLN,HLN,KHLN,Helena Regional Airport,P-N,"101,591"
MONTANA,Kalispell,GPI,FCA,KGPI,Glacier Park International Airport,P-S,"503,816"
MONTANA,Missoula,MSO,MSO,KMSO,Missoula Montana Airport (was Missoula International Airport),P-S,"511,553"
MONTANA,West Yellowstone,WYS,WYS,KWYS,Yellowstone Airport,P-N,"9,569"
NEBRASKA,Grand Island,GRI,GRI,KGRI,Central Nebraska Regional Airport,P-N,"67,747"
NEBRASKA,Kearney,EAR,EAR,KEAR,Kearney Regional Airport (was Kearney Municipal),P-N,"14,130"
NEBRASKA,Lincoln,LNK,LNK,KLNK,Lincoln Airport (was Lincoln Municipal),P-N,"129,968"
NEBRASKA,North Platte,LBF,LBF,KLBF,North Platte Regional Airport (Lee Bird Field),P-N,"16,537"
NEBRASKA,Omaha,OMA,OMA,KOMA,Eppley Airfield,P-M,"2,583,212"
NEBRASKA,Scottsbluff,BFF,BFF,KBFF,Western Nebraska Regional Airport (William B. Heilig Field),P-N,"13,841"
NEVADA,Boulder City,BVU,BLD,KBVU,Boulder City Municipal Airport,P-N,"59,617"
NEVADA,Elko,EKO,EKO,KEKO,Elko Regional Airport (J.C. Harris Field),P-N,"12,881"
